"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"35856","3.92250329","3.69E-6","0.25493924","0.0","2","7","false","P35499","48.0","2","0","0","0.70774967","false","0","P35499","7664","0.5"
"35858","3.59138763","2.595E-5","0.27844391","0.0","4","7","false","Q9H2S1","137.5","4","0","0","0.74086124","false","0","Q9H2S1","65118","0.29418103"
"35860","3.60388946","6.61E-6","0.27747799","0.33333333","3","7","false","Q9H095","106.66666667","3","0","0","0.73961105","false","0","Q9H095","15062","0.33972311"
"35863","3.82950724","1.106E-5","0.2611302","0.0","3","7","false","Q92686","52.33333333","3","0","0","0.71704928","false","0","Q92686","29408","0.33551198"
"35865","3.66530194","8.14E-6","0.27282882","0.0","4","7","false","Q13936","62.25","4","0","0","0.73346981","false","0","Q13936","24694","0.25627615"
"35867","3.95920456","0.0","0.25257599","0.0","1","7","false","Q96L03","77.0","1","0","0","0.70407954","false","0","Q96L03","0","0.0"
"35869","3.95920456","0.0","0.25257599","0.0","1","7","false","Q9HCN6","77.0","1","0","0","0.70407954","false","0","Q9HCN6","0","0.0"
"35871","3.95920456","0.0","0.25257599","0.0","1","7","false","P40145","77.0","1","0","0","0.70407954","false","0","P40145","0","0.0"
"35873","3.80238339","0.0","0.26299294","1.0","2","7","false","P29966","78.5","2","0","0","0.71976166","false","0","P29966","0","0.50645161"
"35875","3.95920456","0.0","0.25257599","0.0","1","7","false","P35228","77.0","1","0","0","0.70407954","false","0","P35228","0","0.0"
"35877","3.95920456","0.0","0.25257599","0.0","1","7","false","O14830","77.0","1","0","0","0.70407954","false","0","O14830","0","0.0"
"35879","3.74974411","3.634E-5","0.26668486","0.0","6","7","false","P27482","39.0","6","0","0","0.72502559","false","0","P27482","81776","0.16814159"
"35883","4.25785934","2.67E-6","0.2348598","0.0","3","7","false","Q96AB3","19.66666667","3","0","0","0.67421407","false","0","Q96AB3","3298","0.33333333"
"35887","4.25530048","2.9E-7","0.23500103","0.0","2","8","false","O75936","15.5","2","0","0","0.67446995","false","0","O75936","500","0.5"
"35892","3.47448457","5.4996E-4","0.28781247","0.0","24","7","false","Q96KG7","17.875","24","0","0","0.75255154","false","0","Q96KG7","1561118","0.04573171"
"35899","3.94597163","7.79E-6","0.25342301","0.03571429","8","8","false","Q59H18","12.875","8","0","0","0.70540284","false","0","Q59H18","23622","0.14786585"
"35908","3.47463079","9.15E-6","0.28780036","0.04761905","7","7","false","O94989","66.71428571","7","0","0","0.75253692","false","0","O94989","39100","0.15420561"
"35914","3.27299313","1.8289E-4","0.30553074","0.0483871","32","7","false","Q15466","38.84375","32","0","0","0.77270069","false","0","Q15466","652752","0.04423188"
"35923","3.69418044","2.867E-5","0.27069604","0.12121212","12","7","false","Q15024","22.08333333","12","0","0","0.73058196","false","0","Q15024","87920","0.09938838"
"35925","3.25091388","3.7559E-4","0.30760581","0.04086022","31","7","false","Q9HD15","38.96774194","31","0","0","0.77490861","false","0","Q9HD15","1027118","0.04093366"
"35928","3.43186138","1.854E-5","0.29138706","0.07619048","15","6","false","Q9UBK2","45.2","15","0","0","0.75681386","false","0","Q9UBK2","82276","0.09124236"
"35930","3.66866501","8.65E-6","0.27257872","0.01818182","11","7","false","Q12796","29.09090909","11","0","0","0.7331335","false","0","Q12796","41858","0.12909921"
"35933","3.63759322","1.259E-5","0.27490704","0.04761905","7","7","false","P33316","46.42857143","7","0","0","0.73624068","false","0","P33316","35290","0.15444015"
"35935","3.55161573","7.57E-6","0.28156199","0.10909091","11","7","false","P51843","31.54545455","11","0","0","0.74483843","false","0","P51843","29868","0.11557959"
"35938","3.66829946","1.854E-5","0.27260588","0.0","6","7","false","Q12769","55.0","6","0","0","0.73317005","false","0","Q12769","50562","0.17088608"
"35941","3.838646","2.14E-6","0.26050852","0.0","2","7","false","Q8N0T1","105.0","2","0","0","0.7161354","false","0","Q8N0T1","5020","0.5"
"35944","3.96446849","8.0E-8","0.25224062","0.0","2","7","false","Q96PN7","30.5","2","0","0","0.70355315","false","0","Q96PN7","390","0.53636364"
"35982","3.40115514","1.0413E-4","0.29401776","0.03333333","16","7","false","P53779","43.3125","16","0","0","0.75988449","false","0","P53779","282200","0.07117475"
"35993","3.41731247","1.4994E-4","0.29262762","0.0615942","24","7","false","Q7L9L4","24.70833333","24","0","0","0.75826875","false","0","Q7L9L4","565706","0.05527211"
"36013","3.64512356","2.1E-5","0.27433912","0.0","8","7","false","P28332","28.125","8","0","0","0.73548764","false","0","P28332","56376","0.12794811"
"36025","3.71143442","1.5266E-4","0.2694376","0.0","5","7","false","Q9H267","65.6","5","0","0","0.72885656","false","0","Q9H267","504832","0.21111111"
"36027","3.9102939","0.0","0.25573525","0.0","1","7","false","Q5SRH9","97.0","1","0","0","0.70897061","false","0","Q5SRH9","0","0.0"
"36032","3.9630794","3.62E-6","0.25232903","0.0","2","7","false","A3KMH1","77.0","2","0","0","0.70369206","false","0","A3KMH1","5646","0.5"
"36044","3.48735195","6.688E-5","0.28675052","0.0","5","6","false","Q14999","112.0","5","0","0","0.7512648","false","0","Q14999","179912","0.2032967"
"36049","3.64929083","1.825E-5","0.27402584","0.03636364","11","7","false","Q86UW7","82.81818182","11","0","0","0.73507092","false","0","Q86UW7","84362","0.23387723"
"36051","3.81027928","4.45E-6","0.26244795","0.0","4","7","false","Q9P2E3","91.5","4","0","0","0.71897207","false","0","Q9P2E3","22546","0.51129944"
"36053","4.47441146","0.0","0.22349308","0.0","1","8","false","Q24JP5","24.0","1","0","0","0.65255885","false","0","Q24JP5","0","0.0"
"36055","4.47441146","0.0","0.22349308","0.0","1","8","false","Q5JTZ9","24.0","1","0","0","0.65255885","false","0","Q5JTZ9","0","0.0"
"36057","4.47441146","0.0","0.22349308","0.0","1","8","false","Q86YR7","24.0","1","0","0","0.65255885","false","0","Q86YR7","0","0.0"
"36059","3.87278842","3.25E-6","0.25821189","0.0","3","7","false","Q9BY12","37.33333333","3","0","0","0.71272116","false","0","Q9BY12","7366","0.33956386"
"36069","3.72693376","5.3E-6","0.26831708","0.0","6","7","false","P17020","25.5","6","0","0","0.72730662","false","0","P17020","21972","0.17753623"
"36071","3.64526978","4.525E-5","0.27432812","0.0","10","7","false","Q99551","27.7","10","0","0","0.73547302","false","0","Q99551","99844","0.10229885"
"36126","3.67911975","5.9E-7","0.27180415","0.0","2","7","false","Q92499","131.5","2","0","0","0.73208802","false","0","Q92499","2508","0.50192308"
"36129","3.90203246","1.94E-6","0.2562767","0.0","2","7","false","Q5VU69","39.5","2","0","0","0.70979675","false","0","Q5VU69","9084","0.5"
"36141","3.16449773","0.00112998","0.31600591","0.0331825","52","6","false","P67775","38.01923077","52","0","0","0.78355023","false","0","P67775","3013068","0.0262494"
"36169","3.47258371","3.666E-5","0.28797002","0.04545455","12","7","false","P29083","53.33333333","12","0","0","0.75274163","false","0","P29083","112280","0.0927065"
"36177","3.25091388","8.003E-5","0.30760581","0.06666667","16","7","false","Q8NFZ5","79.75","16","0","0","0.77490861","false","0","Q8NFZ5","299938","0.07248858"
"36187","3.29514549","2.2765E-4","0.30347674","0.04575163","18","7","false","P19388","74.94444444","18","0","0","0.77048545","false","0","P19388","668066","0.06712754"
"36195","3.47638544","2.648E-5","0.2876551","0.14285714","7","7","false","Q9NWB6","113.28571429","7","0","0","0.75236146","false","0","Q9NWB6","100660","0.17309378"
"36207","3.59679778","1.4015E-4","0.27802508","0.0","17","6","false","O95477","23.11764706","17","0","0","0.74032022","false","0","O95477","314246","0.06410912"
"36211","3.60169615","3.23E-5","0.27764696","0.01515152","12","7","false","Q02763","50.58333333","12","0","0","0.73983038","false","0","Q02763","115382","0.1141055"
"36217","3.46183653","5.786E-5","0.28886402","0.01818182","11","7","false","Q6WCQ1","59.72727273","11","0","0","0.75381635","false","0","Q6WCQ1","150188","0.09753161"
"36219","3.48493932","3.569E-5","0.28694904","0.04761905","7","6","false","P07305","100.57142857","7","0","0","0.75150607","false","0","P07305","103582","0.14706501"
"36221","3.78381342","1.674E-5","0.26428364","0.0","3","7","false","O15488","68.66666667","3","0","0","0.72161866","false","0","O15488","39056","0.3349835"
"36223","3.61456353","2.064E-5","0.27665858","0.04761905","7","7","false","O15514","48.14285714","7","0","0","0.73854365","false","0","O15514","56808","0.15152898"
"36227","3.59789443","1.718E-5","0.27794034","0.0","6","7","false","Q8TDR4","59.66666667","6","0","0","0.74021056","false","0","Q8TDR4","45934","0.16809933"
"36231","3.49327387","3.1643E-4","0.28626441","0.01818182","11","7","false","P01909","64.63636364","11","0","0","0.75067261","false","0","P01909","1155546","0.12712785"
"36237","3.26670566","9.283E-5","0.3061188","0.05714286","15","7","false","Q96F24","96.26666667","15","0","0","0.77332943","false","0","Q96F24","327440","0.08709091"
"36239","3.62509139","8.89E-6","0.27585511","0.0","4","7","false","Q9BR61","112.75","4","0","0","0.73749086","false","0","Q9BR61","28600","0.25748848"
"36243","3.73219769","2.636E-5","0.26793865","0.0","6","7","false","Q9NX24","45.83333333","6","0","0","0.72678023","false","0","Q9NX24","57512","0.17046895"
"36249","3.5094312","6.996E-5","0.28494646","0.0","9","7","false","O94806","52.88888889","9","0","0","0.74905688","false","0","O94806","166704","0.11556545"
"36252","3.39486767","6.003E-5","0.29456229","0.14285714","15","7","false","Q9BWX1","68.6","15","0","0","0.76051323","false","0","Q9BWX1","196554","0.08457096"
"36257","3.85407223","3.57E-6","0.25946582","0.0","2","7","false","P35558","86.5","2","0","0","0.71459278","false","0","P35558","6788","0.5"
"36260","3.73219769","5.01E-6","0.26793865","0.0","3","7","false","Q7Z4H3","80.66666667","3","0","0","0.72678023","false","0","Q7Z4H3","11568","0.33473389"
"36262","3.30742799","8.052E-5","0.30234974","0.03030303","12","7","false","P52333","86.16666667","12","0","0","0.7692572","false","0","P52333","250466","0.09134615"
"36268","3.79770434","1.96E-6","0.26331697","0.0","2","7","false","Q969D9","111.0","2","0","0","0.72022957","false","0","Q969D9","8346","0.51162791"
"36270","3.69922503","6.16E-6","0.27032689","0.0","3","7","false","Q9NPF8","103.66666667","3","0","0","0.7300775","false","0","Q9NPF8","20322","0.34336678"
"36273","3.49824536","2.226E-5","0.28585759","0.21323529","17","7","false","P42680","54.47058824","17","0","0","0.75017546","false","0","P42680","94158","0.09998917"
